X,Y,Fmol_err,Surftot_err,NewX,NewY,Radius
34,9,0.07535629,0.0011084238,6,-19,3.4599154287348117
35,9,0.07185998,0.0009967702,7,-19,3.5161076119608157
36,9,0.06408396,0.00085833087,8,-19,3.5798488910838793
37,9,0.052943293,0.00073518365,9,-19,3.650743870270038
38,9,,,10,-19,3.728384490479506
39,9,,,11,-19,3.8123586387689303
40,9,,,12,-19,3.902257455827094
41,9,,,13,-19,3.9976812643999384
42,9,,,14,-19,4.098244149770061
43,9,,,15,-19,4.203577299126169
44,9,,,16,-19,4.313331251775972
45,9,,,17,-19,4.427177232117525
46,9,,,18,-19,4.544807738598674
47,9,,,19,-19,4.66593655082097
48,9,,,20,-19,4.790298298745276
49,9,,,21,-19,4.917647716627408
50,9,,,22,-19,5.0477586826188245
51,9,,,23,-19,5.180423124636712
52,9,,,24,-19,5.315449855073599
53,9,,,25,-19,5.452663381554668
54,9,,,26,-19,5.591902728276532
55,9,,,27,-19,5.733020292278753
0,10,,,-28,-18,5.780163326810652
1,10,,,-27,-18,5.634876676220985
2,10,,,-26,-18,5.491237529650837
3,10,,,-25,-18,5.349378602892722
4,10,,,-24,-18,5.209445330007912
5,10,,,-23,-18,5.071597108880998
6,10,,,-22,-18,4.936008630715006
7,10,,,-21,-18,4.802871281784476
8,10,,,-20,-18,4.672394597580686
9,10,,,-19,-18,4.544807738598674
10,10,,,-18,-18,4.420360942883024
11,10,,,-17,-18,4.299326892563427
12,10,,,-16,-18,4.182001909622541
13,10,,,-15,-18,4.068706870034773
14,10,,,-14,-18,3.9597876957816602
15,10,,,-13,-18,3.8556152526248773
16,10,,,-12,-18,3.7565844508139907
17,10,,,-11,-18,3.6631123208462224
18,10,,,-10,-18,3.575634823830229
19,10,,,-9,-18,3.4946021648899555
20,10,,,-8,-18,3.420472418765247
21,10,,,-7,-18,3.3537033594860617
22,10,,,-6,-18,3.2947425177905023
23,10,,,-5,-18,3.2440156708713657
24,10,,,-4,-18,3.2019141878563175
25,10,,,-3,-18,3.168781885700917
26,10,,,-2,-18,3.144902254619535
27,10,,,-1,-18,3.130487042344992
28,10,,,0,-18,3.1256671980047477
29,10,,,1,-18,3.130487042344992
30,10,0.07373334,0.00095814135,2,-18,3.144902254619535
31,10,0.076587185,0.0011936993,3,-18,3.168781885700917
32,10,0.07926349,0.0013573644,4,-18,3.2019141878563175
33,10,0.08097361,0.0014135924,5,-18,3.2440156708713657
34,10,0.07996722,0.0013603183,6,-18,3.2947425177905023
35,10,0.07533372,0.0012202422,7,-18,3.3537033594860617
36,10,0.066869915,0.0010422686,8,-18,3.420472418765247
37,10,0.05679363,0.00085588003,9,-18,3.4946021648899555
38,10,,,10,-18,3.575634823830229
39,10,,,11,-18,3.6631123208462224
40,10,,,12,-18,3.7565844508139907
41,10,,,13,-18,3.8556152526248773
42,10,,,14,-18,3.9597876957816602
43,10,,,15,-18,4.068706870034773
44,10,,,16,-18,4.182001909622541
45,10,,,17,-18,4.299326892563427
46,10,,,18,-18,4.420360942883024
47,10,,,19,-18,4.544807738598674
48,10,,,20,-18,4.672394597580686
49,10,,,21,-18,4.802871281784476
50,10,,,22,-18,4.936008630715006
51,10,,,23,-18,5.071597108880998
52,10,,,24,-18,5.209445330007912
53,10,,,25,-18,5.349378602892722
54,10,,,26,-18,5.491237529650837
55,10,,,27,-18,5.634876676220985
0,11,,,-28,-17,5.6881375641206295
1,11,,,-27,-17,5.540438251616261
2,11,,,-26,-17,5.394284982349303
3,11,,,-25,-17,5.249806882242421
4,11,,,-24,-17,5.107146121866364
5,11,,,-23,-17,4.966459312081746
6,11,,,-22,-17,4.827919020266022
7,11,,,-21,-17,4.691715401976494
8,11,,,-20,-17,4.558057935048059
9,11,,,-19,-17,4.427177232117525
10,11,,,-18,-17,4.299326892563427
11,11,,,-17,-17,4.174785334945078
12,11,,,-16,-17,4.053857525350389
13,11,,,-15,-17,3.936876484984201
14,11,,,-14,-17,3.82420442176111
15,11,,,-13,-17,3.7162332865452607
16,11,,,-12,-17,3.6133845076120594
17,11,,,-11,-17,3.5161076119608157
18,11,,,-10,-17,3.424877407607582
19,11,,,-9,-17,3.340189389032747
20,11,,,-8,-17,3.2625530541720202
21,11,,,-7,-17,3.1924829031932953
22,11,,,-6,-17,3.130487042344992
23,11,,,-5,-17,3.077053547894867
24,11,,,-4,-17,3.0326350473060515
25,11,,,-3,-17,2.99763231616215
26,11,,,-2,-17,2.9723780134539464
27,11,,,-1,-17,2.9571219092291905
28,11,,,0,-17,2.952019020337817
29,11,0.074772306,0.0008700015,1,-17,2.9571219092291905
30,11,0.0796091,0.001149642,2,-17,2.9723780134539464
31,11,0.08276396,0.001410677,3,-17,2.99763231616215
32,11,0.08514979,0.0015886946,4,-17,3.0326350473060515
33,11,0.085829765,0.0016456369,5,-17,3.077053547894867
34,11,0.08302843,0.0015806437,6,-17,3.130487042344992
35,11,0.07700642,0.0014144807,7,-17,3.1924829031932953
36,11,0.06846195,0.0011940987,8,-17,3.2625530541720202
37,11,0.0584159,0.00096683536,9,-17,3.340189389032747
38,11,,,10,-17,3.424877407607582
39,11,,,11,-17,3.5161076119608157
40,11,,,12,-17,3.6133845076120594
41,11,,,13,-17,3.7162332865452607
42,11,,,14,-17,3.82420442176111
43,11,,,15,-17,3.936876484984201
44,11,,,16,-17,4.053857525350389
45,11,,,17,-17,4.174785334945078
46,11,,,18,-17,4.299326892563427
47,11,,,19,-17,4.427177232117525
